Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
ThankUCash,Nigeria,fintech,January,"5,300,000.00","500 Global, Unicorn Growth Capital, with participation from Expert Dojo, Predictive VC, SaaS Growth Ventures, Betatron, Accelerex Holding, former HSBC CEO Andrew Dell, Google director of strategy and operations Craig Fenton, and others.",Seed,Equity,Yes,Yes,Yes,2018,Yes,30,2022
Moni,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,16,2022
Eazipay,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,4,2022
Touch and Pay,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2019,Yes,55,2022
Bamboo,Nigeria,fintech,January,"15,000,000.00","Greycroft and Tiger Global with participation from Motley Fool Ventures, Saison Capital,  Chrysalis Capital and Y-Combinator’s Michael Seibel, amongst others. LoftyInc",Series A,Equity,Yes,Yes,No,2020,Yes,50,2022
Nestcoin,Nigeria,fintech,February,"6,450,000.00","Distributed Global, Alter Global, Serena Ventures, Alameda Research, A&T Capital, MSA Capital, 4DX Ventures, Raba Capital, Goat.vc, Social Capital, Old Fashion Research, CMT Digital, Electric Capital, Social Capital, CoinFund, gumi Cryptos Capital, and DeFi Alliance",Pre-seed,Equity,No,Yes,No,2021,No,41,2022
Vesti,Nigeria,fintech,February + April,"520,000.00","Oxygen Group, Microtraction, Prunedge Technologies, Terramax Ventures, GB Digitals, and Midlothian Angel Network (February), Techstars (April)",Pre-seed,Equity,No,Yes,No,2021,No,5,2022
Moove,Nigeria,fintech,"February, March, July, October, December","181,800,000.00","NBK Capital Partners (February), Speedinvest, Left Lane Capital and the latest.ventures, and also featuring AfricInvest, MUFG Innovation Partners, Latitude and Kreos Capital (March), British International Investment (July), Emso Asset Management (October) ",Undisclosed/ Series A2,Equity/debt,No,No,Yes,2019,No,180,2022
Casava,Nigeria,fintech,February,"4,000,000.00","Target Global with participation from Entrée Capital, Oliver Jung, Monzo founder Tom Blomfield and Stash founders Ed Robinson and Brandon Krieg. African founders such as Uche Pedro (founder of BellaNaija), Babs Ogundeyi and Musty Mustapha (co-founders of Kuda), Shola Akinlade (co-founder of Paystack), Olugbenga “GB” Agboola (co-founder of Flutterwave), Honey Ogundeyi (founder of Edukoya), Opeyemi Awoyemi (co-founder of Jobberman), and others also participated in the round.",Pre-seed,Equity,No,Yes,No,2019,No,15,2022
Duplo,Nigeria,fintech,February + September,"5,600,000.00","Oui Capital, and also features the likes of MyAsia VC, Flutterwave CEO Olugbenga “GB” Agboola, and Mono CEO Abdul Hassan (February), Y Combinator (accelerator), Liquid2 Ventures, Soma Capital, Tribe Capital, Commerce Ventures, Basecamp Fund, and Y Combinator, while Oui Capital re-invested (September)",Pre-seed/seed,Equity,No,Yes,No,2021,Yes,12,2022
CrowdForce,Nigeria,fintech,February,"3,600,000.00",Aruwa Capital Management with participation from HAVAÍC and AAIC,Pre-Series A,Equity,No,Yes,No,2015,No,55,2022
Flutterwave,Nigeria,fintech,February,"250,000,000.00","Led by B Capital Group, the US$250 million Series D round also features Alta Park Capital, Whale Rock Capital and Lux Capital, as well as existing investors such as Glynn Capital, Avenir Growth, Tiger Global, Green Visor Capital and Salesforce Ventures.",Series D,Equity,No,Yes,No,2016,No,459,2022
Earnipay,Nigeria,fintech,February,"4,000,000.00","Canaan, with participation from XYZ Ventures, Village Global, Musha Ventures, Ventures Platform, Voltron Capital and Paystack CEO Shola Akinlade.",Seed,Equity,No,Yes,No,2021,No,10,2022
Canza Finance,Nigeria,fintech,February,"3,270,000.00","Fenbushi Capital, with participation from Dominance Ventures, Bixin Ventures, Consensys, Protocol Labs, Emergo Ventures, MEXC Global, NGC Ventures, XanPool, Hashkey, the founders of Celo, and others.",Seed,Equity,Yes,Yes,No,2020,Yes,15,2022
Voyance,Nigeria,fintech,February,"500,000.00","Beta.Ventures with participation from other investors like Zedcrest Capital, HoaQ club, a community of creators and operators. Individual investors involved include Fola Olatunji-David, the founding partner of Kickoff Africa, Chidinma Iwueke, a principal at QED Investors, Seni Sulyman, the founder of Black Ops, and Nelly Chatue-Diop, the co-founder and CEO of Ejara. Plus Techstars, LoftyInc",Pre-seed,Equity,No,Yes,No,2019,Yes,39,2022
Credrails,Nigeria,fintech,February,,"Precursor Ventures, Samos Investments, SoftBank Group, Unicorn Growth Capital, Launch Africa, First Circle Capital",Seed,Equity,Yes,Yes,No,2020,No,12,2022
Sudo Africa,Nigeria,fintech,March,"3,700,000.00","Global Founders Capital (GFC) led the round. Participating VCs include Picus Capital, LoftyInc Capital, Rallycap Ventures, Kepple Africa, Berrywood Capital, ZedCrest and Suya Ventures. Several African fintech founders such as Olugbenga ‘GB’ Agboola, Ham Serunjogi and Odun Eweniyi are investors in the company too.",Pre-seed,Equity,No,Yes,No,2020,No,20,2022
Klump,Nigeria,fintech,March,"780,000.00","Seedcamp, with participation from MAGIC Fund, Voltron Capital, Yellowwood, Kickoff Africa, Hoaq Capital, Kesho VC, Assembly Investors, as well as several angel investors and founders, including Olugbenga “GB” Agboola, CEO of Flutterwave; Will Neale, founder of Grabyo; Michael Pennington, founder of Gumtree; Richmond Bassey, CEO of Bamboo; Babs Ogundeyi, CEO of Kuda Bank; Abdul Hassan, CEO of Mono; Opeyemi Awoyemi; and Selma Ribica. ",Pre-seed,Equity,No,Yes,No,2021,No,14,2022
Yep!,Nigeria,fintech,March,"1,500,000.00",GreenHouse Capital,Pre-seed,Equity,No,Yes,Yes,2021,No,38,2022
Curacel,Nigeria,fintech,March,,Y Combinator,Undisclosed,Equity,No,Yes,No,2017,Yes,55,2022
Crowdyvest,Nigeria,fintech,March,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,Yes,Yes,No,2019,Yes,11,2022
African Valuables Collective,Nigeria,fintech,March,,"Kepple Africa Ventures, Cameron Hejazi (CEO of NFT Platform Cent.co) Ronald Chagoury Jr. and several angel investors. ",Undisclosed,Equity,No,Yes,No,2022,No,1,2022
CredPal,Nigeria,fintech,March + June,"15,000,000.00","Greenhouse Capital, Uncovered Fund, LongCommerce, First Circle Capital, and Adii Pienaar, debt facility provided by a handful of financial institutions (March), Cairo Angels (June)",Undisclosed,Equity/debt,No,Yes,No,2018,Yes,91,2022
Sycamore,Nigeria,fintech,April,,"White Hibiscus Capital (WHC), and features a number of other private investors.",Seed,Equity,Yes,Yes,No,2019,No,67,2022
ImaliPay,Nigeria,fintech,April,"3,000,000.00","Leonnis Investments, follow-on from Ten 13, as well Uncovered Fund, MyAsia VC, Sajid Rahman, KSK Angels, Jedar Capital, Logos Ventures, Plug N Play Ventures, Untapped Global, Latam Ventures, Cliff Angels, Chandaria Capital, Changecom, and other angels from Serbia, Kenya and Norway.",Seed,Equity,No,Yes,No,2020,Yes,65,2022
ZirooPay,Nigeria,fintech,April,"11,400,000.00","Zrosk Investment Management. Existing investors Nordic venture fund Inventure returned, with participation from other private and institutional funds such as Fedha Capital and Exotix Advisory.",Series A,Equity,No,Yes,Yes,2014,No,14,2022
Umba,Nigeria,fintech,April,"15,000,000.00","Tom Blomfield, the co-founder of Monzo, and previous backers Lachy Groom and ACT Ventures. New investors such as Lux Capital, Palm Drive Capital, Banana Capital and Streamlined Ventures participated, while VC firm Costanoa Ventures led the round. ",Series A,Equity,No,Yes,Yes,2018,No,67,2022
ETAP,Nigeria,fintech,April,"1,500,000.00","led by Mobility 54, the venture capital arm of Toyota Tsusho and CFAO Group, with participation from Tangerine Insurance, Graph Ventures, Newmont and other angel investors.",Pre-seed,Equity,No,Yes,No,2021,No,14,2022
Syarpa,Nigeria,fintech,April,"500,000.00",led by CrossFund and FirstFounders and also featuring Yolo Investments and a strategic angel investor. ,Pre-seed,Equity,No,Yes,No,2021,No,19,2022
AfriEx,Nigeria,fintech,April,"10,000,000.00","Sequoia Capital China and Dragonfly Capital with participation from Goldentree, Stellar Foundation and Exceptional Capital, among others.",Series A,Equity,No,Yes,No,2019,Yes,38,2022
Torche,Nigeria,fintech,April,"20,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,8,2022
EMTECH,Nigeria,fintech,April,"5,000,000.00",LoftyInc Capital,Seed,Equity,No,Yes,No,2021,No,6,2022
Masa Finance,Nigeria,fintech,May,"3,500,000.00","Unshackled Ventures and Lateral Capital (backers of Pngme), executives from GoldenTree Asset Management, Flori Ventures, and GSR. Other participating investors are Decentranet Intersect VC, Peer VC, Alves Ventures and some angel investors in the fintech/blockchain space.",Pre-seed,Equity,No,No,Yes,2021,No,22,2022
Kwaba,Nigeria,fintech,May,,CcHub,Pre-seed,Equity,No,Yes,No,2020,Yes,13,2022
Bridgecard,Nigeria,fintech,May,"940,000.00","ABV Fund, Ingressive Capital, Voltron Capital, Venture Platform, Velocity Digital, and Berrywood Capital (round), Y Combinator (accelerator)",Pre-seed,Equity,No,Yes,No,2021,Yes,10,2022
Lendha,Nigeria,fintech,May,"25,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2020,Yes,15,2022
Hadada,Nigeria,fintech,May,,"Cf2, Angel Investors",Pre-seed,Equity,No,Yes,No,2021,No,10,2022
Aladdin Digital Bank,Nigeria,fintech,May + November,,"LoftyInc Capital Management, WeFunder",Undisclosed,Equity,No,Yes,No,2020,No,26,2022
Mizala,Nigeria,fintech,May,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,14,2022
Indicina,Nigeria,fintech,June,"3,000,000.00","Target Global, Greycroft, RV Ventures",Seed,Equity,Yes,Yes,No,2019,Yes,49,2022
VeendHQ,Nigeria,fintech,June,"330,000.00","Magic Fund, The Oak Capital, Future Africa, Berrywood Capital and other angel investors.",Pre-seed,Equity,No,Yes,No,2021,No,20,2022
Thepeer,Nigeria,fintech,June,"2,100,000.00","Raba Partnership, RaliCap, Timon Capital, BYLD Ventures, Musha Ventures, Sunu and Uncovered Fund. African fintechs Chipper Cash and Stitch invested too.",Seed,Equity,No,Yes,No,2021,No,10,2022
Cassava Network,Nigeria,fintech,June,,"Adaverse, Dragonfly Capital, CMT Digital, Yield Guild Games, Mirana",Seed,Equity,No,Yes,No,2021,Yes,19,2022
Loomo,Nigeria,fintech,June,,"Ventures Platform, others",Pre-seed,Equity,No,Yes,No,2022,Yes,7,2022
Creditchek,Nigeria,fintech,July,"240,000.00","Atom Capital with participation from Aidi Ventures, Emmanuel Gbolade of Termii, Ham Serunjogi of Chippercash, Olumide Ogunsanwo of Adamantium Fund, Assembly Investors, Isaac Ewaleifoh of Launch Africa Ventures and other angel investors.",Pre-seed,Equity,No,Yes,No,2021,No,8,2022
Lenco,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,43,2022
Payourse,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2019,Yes,9,2022
Vendy,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2022,Yes,9,2022
Plumter,Nigeria,fintech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,5,2022
Swipe,Nigeria,fintech,,"500,000.00",,Pre-seed,Equity,No,Yes,No,2020,Yes,18,2022
Hashgreed,Nigeria,fintech,July,"1,000,000.00",,Undisclosed,Equity,No,Yes,No,2021,No,10,2022
Evolutics,Nigeria,fintech,August,"250,000.00",Mercurial Advisory and Dinku Transnational,Pre-seed,Equity,No,Yes,No,2021,No,11,2022
Youverify,Nigeria,fintech,August,"1,000,000.00","Orange Ventures and LoftyInc Capital Management, with additional investment from Octerra Capital, Plug & Play Ventures, Syntax Ventures, HTTP Investors, Afer Group and Fronesyz Capital. ",Seed,Equity,No,Yes,No,2018,No,55,2022
Pastel,Nigeria,fintech,August,"5,500,000.00","TLcom Capital, Global Founders Capital (GFC), Golden Palm Investments, DFS Labs, Ulu Ventures, Plug and Play and Soma Cap also participated in the seed round",Seed,Equity,No,Yes,No,2021,No,18,2022
AjoMoney,Nigeria,fintech,April,,Tekedia Capital,Seed,Equity,No,Yes,No,2021,Yes,14,2022
Anchor,Nigeria,fintech,August,"1,000,000.00","Y Combinator, Byld Ventures, Luno Expeditions, Niche Capital, Mountain Peak Capital, and a host of angel investors, including Emmanuel Okeleji, Ado Oseragbaje, Yinka Odeleye, and Sanmi Famuyide.",Pre-seed,Equity,No,Yes,No,2021,Yes,11,2022
Gamp,Nigeria,fintech,August,,"Ingressive Capital, First Circle Capital, Future Africa, Angel Investors",Undisclosed,Equity,No,Yes,No,2021,No,68,2022
Aku,Nigeria,fintech,August,,The Fintech Fund,Undisclosed,Equity,Yes,Yes,No,2019,No,31,2022
Grey,Nigeria,fintech,September,"2,000,000.00","Y Combinator, Soma Capital, Heirloom Fund, True Culture Fund, angel investors Alan Rutledge, Samvit Ramadurgam, Karthik Ramakrishnan, and other high-profile investors.",Seed,Equity,No,Yes,No,2021,Yes,29,2022
NowNow,Nigeria,fintech,September,"13,000,000.00","NeoVision Ventures, India-based DLF Family Office and Shadi Abdulhadi.",Seed,Equity,No,Yes,No,2018,Yes,210,2022
GetFundedAfrica,Nigeria,fintech,September,,SOSV,Undisclosed,Equity,No,Yes,No,2020,Yes,30,2022
Kredi Bank,Nigeria,fintech,September,,"SOSV, Launch Africa Ventures",Undisclosed,Equity,No,Yes,No,2021,Yes,18,2022
Bitmama,Nigeria,fintech,September,"2,000,000.00","Unicorn Growth Capital and Launch Africa Ventures, with participation from Adaverse and follow-on from Flori Ventures, which led the earlier round. Other new investors include Tekedia Capital, GreenHouse Capital, ODBA, Five35 Ventures, Chrysalis Capital, Enrich Africa, Thrive Africa,  AngelList Ventures, and various angel investors.",Pre-seed,Equity,Yes,Yes,No,2019,No,47,2022
Kippa,Nigeria,fintech,September,"8,400,000.00","Goodwater Capital, TEN13 VC, Rocketship VC, Saison Capital, Crestone VC, VentureSouq, Horizon Partners and Vibe Capital.",Seed,Equity,No,Yes,No,2021,No,83,2022
Yellow Card,Nigeria,fintech,September,"40,000,000.00","Polychain Capital, with participation from Valar Ventures, Third Prime, Sozo Ventures, Castle Island Ventures, Fabric Ventures, DG Daiwa Ventures, The Raba Partnership, Jon Weiner, Alex Wilson, Pat Duffy, and more.",Series B,Equity,No,No,Yes,2019,No,219,2022
ComiBlock,Nigeria,fintech,September,,Expert Dojo,Undisclosed,Equity,No,Yes,No,2021,Yes,7,2022
Salad Africa,Nigeria,fintech,September,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2022,Yes,11,2022
Maplerad,Nigeria,fintech,October,"6,000,000.00","Valar Ventures, Golden Palm Investments Corporation, Michael Vaughn (ex-COO, Venmo), Fintech Fund, Babs Ogundeyi (CEO, Kuda) Armyn Capital, Dunbar Capital, Strawhat Investment, Polymath Capital, Unpopular Ventures, Sean Mahsoul and MyAsiaVC.",Undisclosed,Equity,No,Yes,No,2022,No,17,2022
Feather,Nigeria,fintech,October,,Ardent Capital,Undisclosed,Equity,No,Yes,No,2022,No,7,2022
GIGXPAD,Nigeria,fintech,November,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,11,2022
Glover Technologies,Nigeria,fintech,November,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,114,2022
DT2 Technologies,Nigeria,fintech,November,"67,000.00",Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2021,Yes,1,2022
Bunce,Nigeria,fintech,November,"67,000.00",Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2021,Yes,6,2022
Pivo,Nigeria,fintech,November,"2,000,000.00","Precursor Ventures, Vested World, Y Combinator (accelerator), FoundersX and Mercy Corp Ventures",Seed,Equity,Yes,Yes,No,2021,Yes,15,2022
OjirehPrime,Nigeria,fintech,November,"1,240,000.00","CPRES203, Angel Investors",Pre-seed,Equity,No,Yes,No,2018,No,23,2022
Owoafara,Nigeria,fintech,December,,ShEquity,Undisclosed,Equity,Yes,Yes,No,2019,Yes,6,2022
DotPay,Nigeria,fintech,,,LoftyInc,Pre-seed,Equity,No,Yes,No,2021,No,48,2022
Vella Finance,Nigeria,fintech,,,LoftyInc,Pre-seed,Equity,No,Yes,No,2021,No,18,2022
Exin Versa,Nigeria,fintech,,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2022,Yes,4,2022
Collect Africa,Nigeria,fintech,,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2021,Yes,12,2022
Fluna,Nigeria,fintech,,,"Ventures Platform, UAC Nigeria, VFD Group, Angel Investors",Undisclosed,Equity,No,Yes,No,2021,Yes,8,2022
Gigmile,Nigeria,fintech,,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2021,Yes,7,2022
Ladda,Nigeria,fintech,,"125,000.00",On Deck,Undisclosed,Equity,Yes,Yes,No,2020,Yes,3,2022
Blackcopper,Nigeria,fintech,,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2020,Yes,16,2022
Glade,Nigeria,fintech,,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2019,Yes,14,2022
Thndr,Egypt,fintech,February,"20,000,000.00","Tiger Global, BECO Capital and Prosus Ventures, with participation from Base Capital, firstminute and existing investors Endure Capital, 4DX Ventures, Raba Partnerships and JIMCO",Series A,Equity,No,Yes,No,2020,Yes,52,2022
MoneyHash,Egypt,fintech,February,"3,000,000.00","COTU Ventures, with the participation of MENA fintech fund VentureSouq and European fund VentureFriends. Other participating funds include Nuwa Capital, The Continent Venture Partners, First Check Africa, Fox Ventures, Kepple Africa Ventures and LoftyInc Capital Management.",Pre-seed,Equity,Yes,Yes,No,2020,No,12,2022
Nexta,Egypt,fintech,March + September,"5,200,000.00",Disruptech with the participation of key international backers,Pre-seed/seed,Equity,No,Yes,No,2021,No,41,2022
Lucky,Egypt,fintech,March,"25,000,000.00","Nclude Fintech Fund by Global Ventures, and also includes PayU, Endeavor Catalyst, Venture Souq, OTF Jasoor Ventures, Arzan Capital and Disruptech Ventures, who joined existing investors and significant shareholder Lorax Capital Partners.",Series A,Equity,No,Yes,No,2019,Yes,188,2022
FlapKap,Egypt,fintech,March + October,"4,800,000.00","A15 (March), Bolt by QED, Nclude, Outliers, and A15 (October)",Seed,Equity,No,Yes,No,2022,No,13,2022
Khazna,Egypt,fintech,April,"38,000,000.00","Quona Capital with the participation of Speedinvest, Nclude, Khawarizmi Ventures, Algebra Ventures, Accion Venture Lab, Disruptech, AB Accelerator by Arab Bank, and CVentures",Series A,Equity,No,Yes,No,2020,Yes,294,2022
Xpovi,Egypt,fintech,April,"300,000.00",,Pre-seed,Equity,No,Yes,No,2021,No,9,2022
PayMint,Egypt,fintech,April,,AUR Fintech,Seed,Equity,No,Yes,No,2019,Yes,19,2022
Paymob,Egypt,fintech,May,"50,000,000.00","led by PayPal Ventures, Kora Capital, and Clay Point. The round, which also saw participation from Helios Digital Ventures, British International Investment, and Nclude, alongside existing investors A15, FMO, and Global Ventures",Series B,Equity,No,Yes,No,2015,Yes,959,2022
Nice Deer,Egypt,fintech,June,"1,000,000.00",Disruptech Ventures,Pre-seed,Equity,No,Yes,No,2022,No,6,2022
ADVA,Egypt,fintech,June,,Sawari Ventures,Seed,Equity,Yes,Yes,No,2020,No,42,2022
Khazenly,Egypt,fintech,June,"2,500,000.00","Arzan Venture Capital and Shorooq Partners, Other investors include Camel Ventures, Averroes Ventures, and various angel investors.",Seed,Equity,No,Yes,No,2021,Yes,40,2022
valU,Egypt,fintech,June,"12,400,000.00",Alhokair Family,Undisclosed,Equity,No,Yes,No,2017,No,515,2022
MNT-Halan,Egypt,fintech,June,"150,000,000.00",Commercial International Bank,Undisclosed,Debt,No,Yes,No,2018,No,98,2022
Subsbase,Egypt,fintech,August,"2,400,000.00","Global Ventures, HALA Ventures, P1 Ventures, Plus Venture Capital (+VC), Plug and Play, Ingressive Capital, and Camel Ventures, as well as existing investors Falak Startups and Arzan Venture Capital.",Seed,Equity,No,Yes,No,2020,Yes,18,2022
Exits.me,Egypt,fintech,September,"1,000,000.00","Exits.me, a group of notable Egyptian angel investors, Baseeta Investments Holding and Mawelni Holding for Financial Investments, and the founders",Pre-seed,Equity,Yes,Yes,No,2022,No,11,2022
Kiwe,Egypt,fintech,October,,valU,Undisclosed,Equity,Yes,Yes,No,2021,Yes,26,2022
MoneyFellows,Egypt,fintech,October,"31,000,000.00","CommerzVentures, Middle East Venture Partners (MEVP), and Arzan Venture Capital. Invenfin, National Investment Company (NIC) and existing investors such as Partech, Sawari Ventures, 4DX Ventures, and P1 Ventures also participated in the round. ",Series B,Equity,No,Yes,No,2018,Yes,209,2022
Blnk,Egypt,fintech,November,"32,000,000.00","Emirates International Investment Company (EIIC) and Egypt-based VC firm Sawari Ventures, with participation from several prominent local and international angel investors. ",Pre-seed/Seed,Equity/debt,No,Yes,No,2021,No,110,2022
Amwal,Egypt,fintech,December,,"500 Global, Sanabil Investments",Undisclosed,Equity,No,Yes,No,2019,Yes,2,2022
Deben,Egypt,fintech,December,,"500 Global, Sanabil Investments",Undisclosed,Equity,No,Yes,No,2021,Yes,9,2022
Neqabty,Egypt,fintech,December,,"500 Global, Sanabil Investments",Undisclosed,Equity,No,Yes,No,2021,Yes,11,2022
